skip	order_id	product_id	description	price	quantity	is_ready	outlay	outlayPacking
3981	1825	65	сверить	185	1	1	4,9	0
3982	1826	4		85	3	1	9	3,48
3983	1827	4		85	10	1	9	3,48
3984	1827	9		150	1	1	24	0
3985	1828	85	Дівішнік черно зол	10	8	1	0,94	0
3986	1828	34	Шумик	100	1	1	1,06	0
3987	1828	23	черно-зол	25	6	1	0,6	0
3988	1829	65	бело-роз (- 2 шт)	55	1	1	4,9	0
3991	1831	108	на рус сверить	150	1	1	29,1	0
3992	1831	26		50	2	1	4,12	0
3993	1831	3		20	1	1	4	0
3994	1832	2	красн короны	200	1	1	16,6	0
3995	1832	85	розовая сфоткать	10	5	1	0,94	0
3996	1832	85	голубая сфоткать	10	5	1	0,94	0
3997	1833	32	в раме!	120	1	1	4	0
3998	1834	7		20	1	1	0,5	0,85
3999	1834	6		80	1	1	12	3,14
4000	1835	13	лежит готовая	30	1	1	24	0
4001	1835	7		20	1	1	0,5	0,85
4002	1835	6		80	1	1	12	3,14
4003	1835	9		150	1	1	24	0
4004	1836	65	новогод чб сверить!	140	1	1	4,9	0
4005	1836	65	новогодняя сверить текст	130	1	1	4,9	0
4006	1837	39	СДР СФОТКАТЬ	220	1	1	1,06	0
4007	1838	1	ШАРЫ белые на бел веревке	0	10	1	0	0
4008	1839	4		85	1	1	9	3,48
4009	1840	10		150	1	1	0,02	0
4010	1840	7		20	1	1	0,5	0,85
4011	1840	6		80	1	1	12	3,14
4012	1841	7		20	1	1	0,5	0,85
4013	1841	6		80	1	1	12	3,14
4014	1841	4		85	1	1	9	3,48
4015	1841	8		20	1	1	2	0
4016	1842	6		80	1	1	12	3,14
4017	1842	7		20	1	1	0,5	0,85
4018	1842	4		85	1	1	9	3,48
4019	1843	46	на укр+1 шт	195	1	1	31,4	0
4020	1843	32		60	2	1	4	0
4021	1844	87	сверить 16 шт	245	1	1	1	0
4022	1845	6		80	1	1	12	3,14
4023	1845	4		85	1	1	9	3,48
4024	1845	111	гриффиндор	130	1	1	10,6	0
4025	1846	9		150	1	1	24	0
4026	1846	4		85	1	1	9	3,48
4027	1846	11	готовые есть	25	1	1	4,03	0
4028	1846	111	Слизерин сфоткать	130	1	1	10,6	0
4029	1846	8		20	1	1	2	0
4030	1846	13		30	1	1	24	0
4031	1847	6		80	2	1	12	3,14
4032	1847	7		20	2	1	0,5	0,85
4033	1848	7		20	1	1	0,5	0,85
4034	1848	6		80	1	1	12	3,14
4035	1848	9		150	1	1	24	0
4036	1849	3	гол с серебром	15	11	1	4	0
4037	1849	26	гол серебр	50	1	1	4,12	0
4038	1849	17	сверить текст	8	5	1	0,54	0
4039	1849	85	сфоткать	20	3	1	0,94	0
4040	1850	7		20	2	1	0,5	0,85
4041	1850	6		80	2	1	12	3,14
4042	1850	9		150	2	1	24	0
4043	1850	6	просто пустые конверты	15	2	1	12	3,14
4044	1851	2	звезды серебро ФОТО	170	1	1	16,6	0
4045	1851	45	серебро	45	1	1	1	0
4046	1852	3		15	1	1	4	0
4047	1852	26		50	1	1	4,12	0
4048	1852	27	6 шт	110	1	1	4,12	0
4049	1852	59	на рус	100	1	1	18,8	0
4050	1855	7		20	1	1	0,5	0,85
4051	1855	6		80	1	1	12	3,14
4052	1855	10		150	1	1	0,02	0
4053	1855	9		150	1	1	24	0
4054	1855	4		85	1	1	9	3,48
4055	1856	50		185	1	1	27,4	0
4056	1857	7		20	1	1	0,5	0,85
4057	1857	6		80	1	1	12	3,14
4058	1857	9		150	1	1	24	0
4059	1858	26	роз с зол	50	1	1	4,12	0
4060	1858	17	с бантиком	8	4	1	0,54	0
4061	1858	108	на укр сверить	180	1	1	29,1	0
4062	1858	3	сверить	15	10	1	4	0
1	1	1	Дерево 1 годик	300	1	1	0	0
2	1	1	Дерево Вячеслав и Татьяна	350	1	1	0	0
3	1	1	Таблички MR и MRS	70	1	1	0	0
4	1	1	Набор фотобутафории №4.1, 34 шт шляпки	150	1	1	0	0
5	1	1	Набор 13 шт Love	80	1	1	0	0
6	1	1	Набор фотобутафории 34 шт Микки	120	1	1	0	0
7	1	1	Мистер и миссис	70	1	1	0	0
