skip	category_id	product	priceDefault	outlayOther	outlayPaper	outlayPaint	outlayStick	outlayGlue	outlayChokoRoshen	outlayRibbonSmall	outlayRibbonBig	outlayPackBig	outlayPackStandart	outlayPackSmall	outlayPackGirland	outlayPackZip
1	1	Прочее	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	12 месяцев	170	0	4	4	0	0	0	2	0	0	0	0	0	0
3	6	Колпачок	15	0	1	1	0	0	0	0	0	0	0	0	0	0
4	4	Лягушка	85	0	1	1	0	0	0,25	0	0	1	1	1	1	2
6	4	Письмо	80	0	0	6	0	0	0	0	0	1	1	2	0	0
7	4	Билет	20	0	0,125	0,125	0	0	0	0	0	0	1	0	0	0
8	4	Фото Локхарта	20	0	0,5	0,5	0	0	0	0	0	0	0	0	0	0
9	4	Карта Мародеров	150	0	0	12	0	0	0	0	0	0	0	0	0	0
10	4	Палочка	150	0	0	0	0	0,200000003	0	0	0	0	0	0	0	0
11	4	Коробочка берти Боттс	25	0	1	1	0	0	0	0,1	0	0	0	0	0	0
13	4	Придира	30	0	0	12	0	0	0	0	0	0	0	0	0	0
15	8	Коробочка для попкорна	20	0	0	1	1	0	0	0	0	0	0	0	0	0
16	8	Коробочка для попкорна мини	15	0	0,5	0,5	0	0	0	0	0	0	0	0	0	0
17	8	Топпер круглый	8	0	0,085	0,085	1	0	0	0	0	0	0	0	0	0
18	8	Топпер с бантиком	10	0	0,085	0,085	1	0	0	0,3	0	0	0	0	0	0
19	8	Этикетка на Рошен	10	0	0,5	0,5	0	0	0	0	0	0	0	0	0	0
20	8	Наклейка на Барни	10	0	0,33	0,33	0	0	0	0	0	0	0	0	0	0
21	8	Наклейка на сок	10	0	0,5	0,5	0	0	0	0	0	0	0	0	0	0
22	8	Наклейка на бутылочки	10	0	0,2	0,2	0	0	0	0	0	0	0	0	0	0
23	3	Гирлянда-звездочки	25	0,6	0	0	0	0	0	0	0	0	0	0	0	0
24	3	Гирлянда-сердечки	25	0,6	0	0	0	0	0	0	0	0	0	0	0	0
25	3	Гирлянда-кружочки	25	0,6	0	0	0	0	0	0	0	0	0	0	0	0
26	7	Для локона	50	0	1	1	0	0	0	0,4	0	0	0	0	0	0
27	7	Письмо в будушее	50	0	1	1	0	0	0	0,4	0	0	0	0	0	0
28	9	Метрика	180	29	1	1	0	0	0	0	0	0	0	0	0	0
29	9	Метрика с фото	200	29	1	1	0	0	0	0	0	0	0	0	0	0
30	9	Постер Папа	180	29	1	1	0	0	0	0	0	0	0	0	0	0
31	9	Сертификат невесты	150	29	1	1	0	0	0	0	0	0	0	0	0	0
32	9	Диплом А4	60	0	1	1	0	0	0	0	0	0	0	0	0	0
33	9	Диплом А5	30	0	1	1	0	0	0	0	0	0	0	0	0	0
34	3	Фамилия	10	0	0,25	0,25	0	0	0	0,2	0	0	0	0	0	0
35	3	Тедди	10	0	0,25	0,25	0	0	0	0,2	0	0	0	0	0	0
38	12	Стикеры 12 мес	100	0	3	3	0	0	0	0	0	0	0	0	0	0
39	3	С зеркальным золотом/серебром	12	0	0,25	0,25	0	0	0	0,2	0	0	0	0	0	0
